event_id_cnty,event_date,year,time_precision,disorder_type,event_type,sub_event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,civilian_targeting,iso,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,tags,timestamp,population_1km,population_2km,population_5km,population_best
SRB4145,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Belgrade,Barajevo,,Barajevo,44.6031,20.4529,1,"N1TV Online - Serbia",National,"On 7 February 2025, citizens gathered in Barajevo to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption. During the protest, participants observed 23 minutes of silence as part of the 'Serbia, Stop' campaign to honor the victims from Novi Sad's tragedy, as well as those from a nursing home in Barajevo.",0,"crowd size=no report",1739305041,448,1839,15364,448
SRB4147,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"North Backa","Backa Topola",,"Backa Topola",45.8151,19.6318,1,"N1TV Online - Serbia",National,"On 7 February 2025, citizens, high school students and education workers gathered in Backa Topola to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1739305041,1712,10088,18326,1712
SRB4148,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Sumadija,Kragujevac,,Kragujevac,44.0109,20.909,1,"N1TV Online - Serbia",National,"On 7 February 2025, high school students, their teachers, and parents, alongside actors and other citizens, gathered in Kragujevac to show support for education workers and school children who decided to occupy their schools, strike and suspend classes nationwide, and protest against pressures that they have been facing. This strike aimed to support students in their call for accountability regarding the Novi Sad railway tragedy, in which 15 people lost their lives.",0,"crowd size=no report",1739305041,13095,22794,115608,13095
SRB4150,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Farmers (Serbia); Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Pcinja,Vranje,,Vranje,42.556,21.9002,1,"FoNet; Juzne Vesti; N1TV Online - Serbia",National,"On 7 February 2025, citizens, high school students, teachers and farmers gathered in Vranje to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the victims and demand accountability for this tragic event.",0,"crowd size=no report",1739305041,4702,23737,52631,4702
SRB4151,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Farmers (Serbia); Health Workers (Serbia); Labor Group (Serbia); Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Pcinja,Bujanovac,,Bujanovac,42.4591,21.7666,1,"N1TV Online - Serbia",National,"On 7 February 2025, citizens, students, health workers, teachers, economists, pensioners, and farmers gathered in Bujanovac to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1739305041,9,19,33,9
SRB4156,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa","Novi Sad",,"Novi Sad",45.2593,19.8291,1,"N1TV Online - Serbia",National,"On 7 February 2025, parents gathered outside the 'Jovan Popovic' Elementary School in Novi Sad to demand greater safety for their children. Their concerns were heightened by a recent incident involving a dead rabbit which somebody had left on the school's premises. This was perceived as a threat and an attempt at intimidation, especially since the rabbit symbol has been associated with previous protests in Novi Sad. Additionally, the parents expressed their opposition to a newly adopted teaching model that calls for a partial suspension of classes, as they believe it discriminates and divides students and staff, as some advocate for a complete suspension of classes while others continue to attend.",0,"crowd size=no report",1739305041,9541,41595,169916,9541
SRB4158,"07 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Pomoravlje,Svilajnac,,Svilajnac,44.2337,21.1967,1,"N1TV Online - Serbia",National,"On 7 February 2025, citizens gathered in Svilajnac to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption.",0,"crowd size=no report",1739305041,2005,8406,13077,2005
SRB4163,"07 February 2025",2025,1,Demonstrations,Protests,"Protest with intervention","Protesters (Serbia)","Students (Serbia); Teachers (Serbia)",Protesters,"Rioters (Serbia)",,Rioters,Rioters-Protesters,,688,Europe,Serbia,Nisava,Nis-Medijana,,Nis,43.3234,21.9018,1,"Danas; N1TV Online - Serbia",National-Regional,"On 7 February 2025, students marched in protest to the City Hall in Nis, demanding the resignation of the city's cultural affairs official. They accused her of political retaliation against professors who supported the students in their calls for accountability regarding the 15 victims of the railway station collapse in Novi Sad, which the protesters attribute to corruption. As part of the 'Serbia, Stop' campaign, the students observed a 15-minute moment of silence in front of the court to honor the victims of the Novi Sad tragedy and to demand justice for their loss of life. During the protest, the dean of the Faculty of Philosophy in Nis was verbally and physically assaulted by a woman who had previously confronted students while trying to seize their banners and megaphone. The situation escalated when the woman lunged at the dean, prompting another professor and students to intervene and push the attacker away. Following the attack, the dean was hospitalized at the Cardiology Clinic, while a female suspect was arrested. The attacked dean has been repeatedly targeted by pro-government media for her support of the students' protests. Recently, she received an official pardon from the Serbian President, despite being unaware of the reason for her pardon, as she has never been convicted of any crime and no criminal proceedings are currently underway against her.",0,"crowd size=no report",1739305041,5189,35833,135365,5189
SRB4117,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Belgrade,"Stari Grad",,"Belgrade - Stari Grad",44.823,20.4605,1,"N1TV Online - Serbia",National,"On 6 February 2025, students from medical faculties gathered in front of the Serbian Medical Society (SLD) in Belgrade - Stari Grad while members of the organization held a session to decide whether to officially support the students' demands for accountability regarding the victims of the Novi Sad train station collapse. They gathered to show their support for this decision and to protest against the pressures that medical professionals face for backing the protests. This protest was also in response to a recent incident where a driver hit two female doctors during their silent commemoration for the victims of Novi Sad, which was organized in front of the Institute for Mental Health. As part of the 'Serbia, Stop' campaign, the protesters observed 15 minutes of silence in honor of the victims and called for ethical and moral accountability within the medical profession. During the session, the SLD voted in favor of officially supporting the protests.",0,"crowd size=no report",1739305041,9651,38334,101955,9651
SRB4118,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa","Novi Sad",,"Novi Sad",45.2593,19.8291,1,"N1TV Online - Serbia",National,"On 6 February 2025, citizens and students gathered in Novi Sad to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1739305041,9541,41595,169916,9541
SRB4119,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Kolubara,Valjevo,,Valjevo,44.272,19.8874,1,"N1TV Online - Serbia",National,"On 6 February 2025, citizens and students gathered in Valjevo to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1739305041,5855,23076,66513,5855
SRB4128,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Nisava,Nis-Medijana,,Nis,43.3234,21.9018,1,"N1TV Online - Serbia",National,"On 6 February 2025, citizens, students, health workers, and professors gathered in front of the Faculty of Medicine in Nis to show support for students who are occupying their faculties, and to urge the members of the Serbian Medical Society (SLD) to support the students' demands for accountability regarding the train station collapse in Novi Sad in which 15 people lost their lives. As part of the 'Serbia, Stop' campaign, they also observed 15 minutes of silence in honor of the victims and to advocate for the fulfilment of students' demands. Later that day, the SLD voted in favor of officially supporting the protests.",0,"crowd size=no report",1739305041,5189,35833,135365,5189
SRB4129,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa","Novi Sad",,"Novi Sad",45.2593,19.8291,1,"N1TV Online - Serbia",National,"On 6 February 2025, citizens, students, health workers, and education workers, including kindergarten teachers, gathered at various locations in Novi Sad to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1739305041,9541,41595,169916,9541
SRB4130,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa","Novi Sad",,"Novi Sad",45.2593,19.8291,1,"N1TV Online - Serbia",National,"On 6 February 2025, students, health workers, professors, and citizens gathered in front of the Faculty of Medicine in Novi Sad to urge the members of the Serbian Medical Society (SLD) to support the students' demands for accountability regarding the victims of the train station collapse in Belgrade. As part of the 'Serbia, Stop' campaign, the protesters also observed 15 minutes of silence in honor of the victims and to advocate for the fulfilment of students' demands. Later that day, the SLD voted in favor of officially supporting the protests.",0,"crowd size=no report",1739305041,9541,41595,169916,9541
SRB4132,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Labor Group (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Raska,"Novi Pazar",,"Novi Pazar",43.1375,20.5149,1,"N1TV Online - Serbia",National,"On 6 February 2025, citizens, students and actors blocked a section of the highway leading to Montenegro in Novi Pazar to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims and demand accountability for their loss of life.",0,"crowd size=no report",1739305041,22703,36037,104644,22703
SRB4133,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Jablanica,"Crna Trava",,"Crna Trava",42.8071,22.3246,1,"N1TV Online - Serbia",National,"On 6 February 2025, citizens gathered in Crna Trava to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption.",0,"crowd size=no report",1739305041,9,10,76,9
SRB4134,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Sumadija,Kragujevac,,Kragujevac,44.0109,20.909,1,"N1TV Online - Serbia",National,"On 6 February 2025, citizens gathered in Kragujevac to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption. Protesters also gathered to urge the members of the Serbian Medical Society (SLD) to support the students' demands for accountability regarding the victims of the train station collapse in Belgrade. As part of the 'Serbia, Stop' campaign, they also observed 15 minutes of silence in honor of the victims and to advocate for the fulfilment of students' demands. Later that day, the SLD voted in favor of officially supporting the protests.",0,"crowd size=no report",1739305041,13095,22794,115608,13095
SRB4141,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,Srem,"Sremska Mitrovica",,"Sremska Mitrovica",44.9764,19.6122,1,"N1TV Online - Serbia",National,"On 6 February 2025, citizens gathered in Sremska Mitrovica to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption.",0,"crowd size=no report",1739305041,4793,15122,45891,4793
SRB4142,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)",,Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa",Bac,,Vajska,45.4121,19.1133,1,"N1TV Online - Serbia",National,"On 6 February 2025, citizens gathered in Vajska to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption.",0,"crowd size=no report",1739305041,214,938,1475,214
SRB4144,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Belgrade,,,Belgrade,44.6916,20.4261,2,"N1TV Online - Serbia",National,"On 6 February 2025, teachers from 20 schools in Belgrade, along with students, parents, and citizens, gathered in front of the Ministry of Education in Belgrade - Savski Venac, demanding an end to the pressures and threats faced by education workers who chose to strike and suspend classes nationwide. The strike was in support of students' demands for accountability following the tragic loss of 15 lives due to the collapse of a concrete canopy at Novi Sad's railway station, which many attributed to corruption. The protesters also called for the withdrawal of the order to reduce January salaries and demanded an end to inspections in schools linked to the strike, as well as reforms in education policy. On the same day, school children and teachers gathered in front of various schools in Belgrade, including in Zemun, Dedinje, Palilula, Stari Grad, and Novi Beograd to show support for education workers and school children who decided to occupy their schools, strike and suspend classes nationwide, and protest against pressures that they have been facing. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the Novi Sad's victims and further advocate for students' demands to be addressed.",0,"crowd size=no report",1739305041,1777,13861,33117,1777
SRB4146,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,"South Backa","Novi Sad",,"Novi Sad",45.2593,19.8291,1,"N1TV Online - Serbia",National,"On 6 February 2025, school children, their parents, and teachers gathered in front of the 'Prva Vojvodanska Brigada' Primary School in Novi Sad to protest against police intimidation of a teacher and a parent who had been summoned for questioning due to their support of the students' occupation and teachers' strike. Both movements demand accountability concerning the loss of 15 lives after a concrete canopy collapsed at Novi Sad's railway station, which the protesters attribute to corruption.",0,"crowd size=no report",1739305041,9541,41595,169916,9541
SRB4153,"06 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Students (Serbia); Teachers (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Belgrade,,,Belgrade,44.6916,20.4261,2,"N1TV Online - Serbia",National,"On 6 February 2025, citizens, university and high school students, professors, and health workers gathered at various locations in Belgrade, including in Zemun, Novi Beograd, and Stari Grad to block the roads and show support for students who are demanding accountability for the loss of 15 lives following the collapse of a concrete canopy at the train station in Novi Sad. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign to honor the victims and advocate for their demands to be addressed.",0,"crowd size=no report",1739305041,1777,13861,33117,1777
SRB4162,"06 February 2025",2025,1,Demonstrations,Protests,"Protest with intervention","Protesters (Serbia)","Teachers (Serbia)",Protesters,"Rioters (Serbia)",,Rioters,Rioters-Protesters,,688,Europe,Serbia,"South Backa","Novi Sad",,"Novi Sad",45.2593,19.8291,1,"N1TV Online - Serbia",National,"On 6 February 2025, citizens, kindergarten teachers and parents gathered in front of the 'Cirilo i Metodije' Church in the Telep neighborhood in Novi Sad to observe 15 minutes of silence as part of 'Serbia, stop' campaign to honor the 15 victims who lost their lives when the concrete canopy collapsed at Novi Sad's train station, and demand accountability for their death. During the gathering, a driver attempted to drive through, though nobody was injured.",0,"crowd size=no report",1739305041,9541,41595,169916,9541
SRB4043,"05 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Labor Group (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Belgrade,"Stari Grad",,"Belgrade - Stari Grad",44.823,20.4605,1,"Danas; N1TV Online - Serbia",National-Regional,"On 5 February 2025, several hundred workers from the City's Public Transport Company (GSP), students and citizens, marched in protest to the City Assembly in Belgrade - Stari Grad to hand over four demands to city officials. Their requests included: halting the abolition of trolleybuses, preventing the privatization of the Dorcol depot, purchasing 100 modern trolleybuses, and re-evaluating contracts signed in the past year that transferred key public transport routes to private operators. Protesters also observed 15 minutes of silence as part of the 'Serbia, Stop' campaign, with an aim to honor the 15 victims who lost their lives following the collapse of the concrete canopy at the Novi Sad's train station and demand accountability for this tragic event. After the march, the protesters joined pensioners who had gathered at Republic Square to support the students in their call for accountability regarding the Novi Sad train station tragedy (coded separately).",0,"crowd size=several hundred",1739305040,9651,38334,101955,9651
SRB4047,"05 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Health Workers (Serbia); Labor Group (Serbia); Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Belgrade,,,Belgrade,44.6916,20.4261,2,"N1TV Online - Serbia",National,"On 5 February 2025, 7,500 pensioners (according to the Archive of Public Gatherings) gathered at Republic Square in Belgrade - Stari Grad to express solidarity with students protesting for justice and accountability regarding the Novi Sad train station tragedy in which 15 people lost their lives following the collapse of a concrete canopy. After the protest, they marched towards the Ministry of Education to join the protest supporting striking education workers (coded separately) and to observe 15 minutes of silence for the victims as part of the 'Serbia, Stop' campaign. On the same day, citizens, students, and health workers gathered at various locations in Belgrade, including in Zemun, Banjica, and Banovo Brdo to show support for students and striking education workers, as well as to observe 15 minutes of silence as part of the 'Serbia, Stop' campaign.",0,"crowd size=7,500",1739305040,1777,13861,33117,1777
SRB4115,"05 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Srem,"Sremska Mitrovica",,"Sremska Mitrovica",44.9764,19.6122,1,"N1TV Online - Serbia",National,"On 5 February 2025, high school students occupied the Gymnasium in Sremska Mitrovica, advocating for students' demands to be met. Their demands include accountability for the loss of 15 lives due to the collapse of a concrete canopy at the train station in Novi Sad, which they attribute to corruption. They are also calling for the publication of documents related to the station's reconstruction, the release and dismissal of charges against those arrested during the protests, and the filing of criminal charges against individuals who assaulted students during these demonstrations.",0,"crowd size=no report",1739305041,4793,15122,45891,4793
SRB4116,"05 February 2025",2025,1,Demonstrations,Protests,"Peaceful protest","Protesters (Serbia)","Students (Serbia)",Protesters,,,,"Protesters only",,688,Europe,Serbia,Kolubara,Valjevo,,Valjevo,44.272,19.8874,1,"N1TV Online - Serbia",National,"On 5 February 2025, citizens and students gathered in Valjevo to show support for students who are occupying their faculties, demanding accountability for the loss of 15 lives after a concrete canopy at Novi Sad's railway station collapsed, attributing the tragic event to corruption.",0,"crowd size=no report",1739305041,5855,23076,66513,5855
